id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,7200,7200,7200.0, 36 months,9.49,230.61,B,B2,Inventory control ,10+ years,MORTGAGE,60000.0,Source Verified,Aug-2016,Current,n,,,debt_consolidation,Debt consolidation,684xx,NE,10.0,1.0,Sep-1998,0.0,14.0,,9.0,0.0,5799,35.4,15.0,f,1345.9,1345.9,6914.5,6914.5,5854.1,1060.4,0.0,0.0,0.0,Feb-2019,230.61,Mar-2019,Feb-2019,1.0,,1,Individual,,,,0.0,1911.0,83167.0,0.0,1.0,0.0,0.0,34.0,12162.0,69.0,2.0,4.0,1795.0,53.0,16400.0,3.0,0.0,5.0,5.0,9241.0,7885.0,26.3,0.0,0.0,131.0,215.0,7.0,7.0,1.0,7.0,35.0,1.0,14.0,0.0,3.0,6.0,4.0,8.0,2.0,7.0,12.0,6.0,9.0,0.0,0.0,0.0,2.0,80.0,0.0,0.0,0.0,103144.0,17961.0,10700.0,17554.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,25000,25000,25000.0, 60 months,22.35,695.46,D,D5,Operations Supervisor ,10+ years,MORTGAGE,104000.0,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,933xx,CA,11.83,1.0,Sep-2002,1.0,9.0,,7.0,0.0,12723,70.7,26.0,w,24536.05,24536.05,1328.84,1328.84,463.95,864.89,0.0,0.0,0.0,Feb-2019,695.46,Mar-2019,Feb-2019,1.0,9.0,1,Individual,,,,0.0,0.0,272648.0,0.0,2.0,0.0,2.0,15.0,11482.0,77.0,0.0,1.0,6480.0,73.0,18000.0,3.0,1.0,1.0,3.0,38950.0,5053.0,70.8,0.0,0.0,133.0,195.0,17.0,15.0,2.0,31.0,,4.0,,1.0,3.0,4.0,3.0,9.0,9.0,4.0,14.0,4.0,7.0,0.0,0.0,1.0,0.0,96.2,33.3,0.0,0.0,297613.0,24205.0,17300.0,14995.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,35000,35000,35000.0, 60 months,24.5,1017.07,F,F3,Manager,10+ years,MORTGAGE,111450.0,Verified,Mar-2015,Fully Paid,n,,,debt_consolidation,Debt consolidation,080xx,NJ,14.06,0.0,Apr-1993,2.0,24.0,,37.0,0.0,30322,33.6,63.0,w,0.0,0.0,44345.949981791,44345.95,35000.0,9345.95,0.0,0.0,0.0,May-2016,31171.68,,May-2017,0.0,24.0,1,Individual,,,,0.0,0.0,227012.0,,,,,,,,,,,,90200.0,,,,14.0,6135.0,29036.0,49.8,0.0,0.0,141.0,262.0,2.0,2.0,1.0,2.0,24.0,0.0,24.0,1.0,6.0,9.0,17.0,24.0,10.0,34.0,52.0,9.0,37.0,0.0,0.0,0.0,6.0,96.8,23.5,0.0,0.0,330751.0,37864.0,57800.0,30612.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,24000,24000,24000.0, 60 months,9.44,503.35,B,B1,Manager,10+ years,MORTGAGE,132000.0,Verified,Aug-2017,Current,n,,,debt_consolidation,Debt consolidation,704xx,LA,26.04,0.0,Sep-1990,0.0,,,13.0,0.0,71866,94.0,28.0,w,17943.14,17943.14,9035.13,9035.13,6056.86,2978.27,0.0,0.0,0.0,Feb-2019,503.35,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,476808.0,1.0,2.0,1.0,1.0,4.0,43143.0,68.0,0.0,1.0,15713.0,94.0,76800.0,0.0,1.0,1.0,2.0,36677.0,8389.0,94.0,0.0,0.0,148.0,322.0,23.0,4.0,3.0,43.0,,4.0,,0.0,9.0,10.0,12.0,12.0,7.0,10.0,18.0,10.0,13.0,,0.0,0.0,1.0,100.0,100.0,0.0,0.0,530976.0,115009.0,75500.0,63576.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000.0, 36 months,8.19,314.25,A,A4,Architect,10+ years,MORTGAGE,125000.0,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,945xx,CA,15.44,0.0,Apr-1985,0.0,,,10.0,0.0,36417,58.7,13.0,w,9506.32,9506.32,623.95,623.95,493.68,130.27,0.0,0.0,0.0,Feb-2019,314.25,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,301962.0,1.0,2.0,0.0,2.0,14.0,15733.0,66.0,1.0,2.0,21003.0,61.0,62000.0,1.0,0.0,0.0,4.0,30196.0,21322.0,58.6,0.0,0.0,17.0,404.0,2.0,2.0,2.0,2.0,,14.0,,0.0,4.0,6.0,5.0,6.0,2.0,7.0,9.0,6.0,10.0,0.0,0.0,0.0,1.0,100.0,40.0,0.0,0.0,364800.0,52150.0,51500.0,24000.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10025,10025,10025.0, 36 months,10.99,328.16,B,B2,RN Bed Coordinator,10+ years,OWN,120000.0,Not Verified,Apr-2014,Fully Paid,n,,,debt_consolidation,Debt consolidation,917xx,CA,11.12,0.0,Feb-1999,2.0,40.0,,20.0,0.0,20574,35.2,39.0,f,0.0,0.0,11813.6822316506,11813.68,10025.0,1788.68,0.0,0.0,0.0,Apr-2017,328.08,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,343530.0,,,,,,,,,,,,58400.0,,,,5.0,18081.0,16015.0,53.6,0.0,0.0,99.0,182.0,1.0,1.0,3.0,52.0,,1.0,40.0,0.0,6.0,8.0,7.0,15.0,5.0,16.0,31.0,8.0,20.0,0.0,0.0,0.0,3.0,94.9,14.3,0.0,0.0,387965.0,71916.0,34500.0,51788.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7750,7750,7750.0, 36 months,14.99,268.62,C,C5,Report Writer,10+ years,MORTGAGE,32000.0,Not Verified,Oct-2014,Fully Paid,n,,,debt_consolidation,Debt consolidation,440xx,OH,29.18,0.0,Mar-2001,1.0,62.0,,12.0,0.0,5686,49.0,18.0,f,0.0,0.0,9689.6695970263,9689.67,7750.0,1939.67,0.0,0.0,0.0,Nov-2017,8.07,,Aug-2018,0.0,62.0,1,Individual,,,,0.0,0.0,29244.0,,,,,,,,,,,,11600.0,,,,7.0,2437.0,1442.0,71.2,0.0,0.0,143.0,162.0,3.0,3.0,1.0,3.0,,3.0,,4.0,4.0,11.0,4.0,4.0,4.0,11.0,12.0,11.0,12.0,0.0,0.0,0.0,4.0,77.8,50.0,0.0,0.0,40514.0,29244.0,5000.0,28914.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000.0, 36 months,9.44,320.05,B,B1,Casino Bartender,5 years,MORTGAGE,55000.0,Source Verified,Aug-2017,Fully Paid,n,,,debt_consolidation,Debt consolidation,550xx,MN,18.11,0.0,Jul-2013,0.0,,,14.0,0.0,9769,45.0,17.0,w,0.0,0.0,10966.7281100388,10966.73,10000.0,966.73,0.0,0.0,0.0,Oct-2018,6811.32,,Nov-2018,0.0,,1,Individual,,,,0.0,0.0,175868.0,2.0,2.0,0.0,2.0,21.0,19443.0,74.0,1.0,5.0,3557.0,61.0,21700.0,2.0,2.0,2.0,8.0,13528.0,9560.0,50.2,0.0,0.0,45.0,48.0,5.0,5.0,1.0,5.0,,7.0,,0.0,6.0,7.0,7.0,8.0,4.0,11.0,12.0,7.0,14.0,0.0,0.0,0.0,2.0,100.0,42.9,0.0,0.0,194868.0,29212.0,19200.0,26132.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,28000,28000,28000.0, 36 months,7.89,876.0,A,A5,Owner,10+ years,OWN,70000.0,Verified,Feb-2015,Fully Paid,n,,,debt_consolidation,Debt consolidation,799xx,TX,6.77,0.0,Feb-2001,0.0,,,17.0,0.0,19065,37.3,29.0,w,0.0,0.0,31511.371595283,31511.37,28000.0,3511.37,0.0,0.0,0.0,Mar-2018,875.92,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,19065.0,,,,,,,,,,,,51100.0,,,,3.0,1271.0,15971.0,45.9,0.0,0.0,52.0,168.0,15.0,15.0,0.0,15.0,,2.0,,0.0,4.0,8.0,8.0,14.0,1.0,17.0,28.0,8.0,17.0,0.0,0.0,0.0,0.0,100.0,12.5,0.0,0.0,51100.0,19065.0,29500.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,1200,1200,1200.0, 36 months,13.56,40.76,C,C1,HBC/GM,4 years,RENT,23000.0,Source Verified,Sep-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,731xx,OK,16.39,0.0,Sep-2008,0.0,,74.0,16.0,1.0,521,1.5,17.0,w,0.0,0.0,1245.520923584,1245.52,1200.0,45.52,0.0,0.0,0.0,Dec-2018,1165.81,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,43031.0,2.0,5.0,1.0,1.0,3.0,42510.0,132.0,2.0,4.0,388.0,65.0,34400.0,0.0,1.0,0.0,5.0,2689.0,26652.0,1.7,0.0,0.0,120.0,70.0,6.0,3.0,0.0,9.0,,,,0.0,2.0,4.0,6.0,6.0,6.0,11.0,11.0,4.0,16.0,0.0,0.0,0.0,3.0,100.0,0.0,1.0,0.0,66514.0,43031.0,27100.0,32114.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
