hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,1,238,2016,September,37,7,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,Non Refund,1.0,,0,Transient,89.0,0,0,Canceled,2016-02-09
Resort Hotel,0,33,2017,June,25,19,1,1,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,154.0,1,1,Check-Out,2017-06-21
City Hotel,1,239,2015,October,42,17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2015-08-17
Resort Hotel,0,64,2015,September,39,24,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,80.1,0,2,Check-Out,2015-09-27
City Hotel,0,34,2016,October,41,2,2,3,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,95.47,0,1,Check-Out,2016-10-07
City Hotel,0,24,2017,July,30,29,2,3,2,0.0,0,BB,KWT,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,83.0,,0,Transient,127.26,0,0,Check-Out,2017-08-03
City Hotel,1,39,2016,November,47,15,2,5,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,1,Canceled,2016-11-06
Resort Hotel,0,101,2016,December,53,31,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient,63.14,0,0,Check-Out,2017-01-07
City Hotel,0,55,2016,April,15,6,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,56.0,,0,Transient-Party,104.0,0,0,Check-Out,2016-04-07
Resort Hotel,0,67,2016,February,6,1,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,1,No Deposit,240.0,,0,Transient,39.0,0,1,Check-Out,2016-02-03
City Hotel,0,19,2015,August,36,31,1,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,102.0,0,0,Check-Out,2015-09-05
City Hotel,1,44,2017,March,10,6,1,4,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,2,Canceled,2017-01-22
City Hotel,1,99,2016,February,8,19,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,No Deposit,,67.0,0,Transient-Party,80.0,0,0,Canceled,2015-12-22
City Hotel,0,21,2016,February,7,12,0,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,,0,Transient,79.0,0,0,Check-Out,2016-02-14
City Hotel,0,68,2017,July,27,2,2,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,190.0,0,1,Check-Out,2017-07-06
City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
Resort Hotel,0,162,2016,March,13,24,1,3,2,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,A,I,0,No Deposit,387.0,,0,Transient-Party,63.0,0,0,Check-Out,2016-03-28
Resort Hotel,0,60,2015,August,33,11,0,4,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,188.0,0,0,Check-Out,2015-08-15
Resort Hotel,0,0,2016,February,7,10,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,53.0,1,0,Check-Out,2016-02-11
City Hotel,1,93,2017,April,14,6,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,,0,Transient,85.0,0,0,Canceled,2017-01-03
