id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,35000,35000,34950.0, 36 months,12.12,1164.51,B,B3,Protestant Church,5 years,RENT,165000.0,Verified,Sep-2012,Fully Paid,n,,"  Borrower added on 08/31/12 > This loan is pay off existing credit card debt.  To lower the interest rate.  We are already making progress on reducing the debt, but would rather pay a more reasonable rate.<br><br>  Borrower added on 09/01/12 > I have a responsible person in a very stable job, and am simply looking to move credit card debt to a lower interest rate as recommended by a financial advisor.<br><br> Borrower added on 09/01/12 > I am a reliable person with a very stable job.  I am simply seeking a lower interest rate on credit card debt, as recommended by a financial advisor.<br>",credit_card,Debt Be Gone,100xx,NY,9.01,0.0,Jan-1983,0.0,51.0,,2.0,0.0,744,16.5,27.0,f,0.0,0.0,41922.2679195498,41862.38,35000.0,6922.27,0.0,0.0,0.0,Sep-2015,1167.89,,Dec-2018,0.0,,1,Individual,,,,0.0,0.0,41223.0,,,,,,,,,,,,4500.0,,,,0.0,20612.0,3756.0,16.5,0.0,0.0,360.0,238.0,30.0,30.0,2.0,30.0,51.0,12.0,51.0,0.0,1.0,1.0,1.0,8.0,14.0,1.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,49161.0,41223.0,4500.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,15000.0, 60 months,13.49,345.08,C,C2,owner,8 years,MORTGAGE,150000.0,Source Verified,Mar-2017,Current,n,,,home_improvement,Home improvement,117xx,NY,4.4,0.0,Oct-1991,0.0,,68.0,18.0,1.0,14440,34.1,28.0,w,10397.86,10397.86,7925.6,7925.6,4602.14,3323.46,0.0,0.0,0.0,Feb-2019,345.08,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,14440.0,0.0,0.0,0.0,0.0,30.0,0.0,,1.0,1.0,2114.0,34.0,42400.0,0.0,0.0,7.0,1.0,849.0,8608.0,37.6,0.0,0.0,50.0,304.0,10.0,10.0,4.0,29.0,,4.0,,0.0,4.0,14.0,5.0,7.0,2.0,18.0,22.0,14.0,18.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,42400.0,14440.0,13800.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000.0, 36 months,8.99,158.98,B,B1,Musician,10+ years,RENT,29000.0,Not Verified,Jul-2016,Fully Paid,n,,,debt_consolidation,Debt consolidation,372xx,TN,8.61,0.0,May-1989,0.0,,44.0,5.0,1.0,2543,32.6,28.0,f,0.0,0.0,5426.5228549755,5426.52,5000.0,426.52,0.0,0.0,0.0,Sep-2017,3523.75,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,7050.0,0.0,1.0,0.0,0.0,25.0,4507.0,65.0,0.0,2.0,1695.0,48.0,7800.0,0.0,0.0,2.0,2.0,1410.0,2757.0,48.0,0.0,0.0,119.0,326.0,14.0,14.0,1.0,32.0,,0.0,,0.0,2.0,2.0,2.0,14.0,6.0,4.0,21.0,2.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,14760.0,7050.0,5300.0,6960.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,33600,33600,33600.0, 36 months,10.91,1098.59,B,B4,Dental Assistant,3 years,MORTGAGE,90000.0,Source Verified,Dec-2017,Current,n,,,credit_card,Credit card refinancing,263xx,WV,18.17,0.0,Feb-2008,1.0,,,11.0,0.0,7861,24.0,12.0,w,21815.82,21815.82,15367.83,15367.83,11784.18,3583.65,0.0,0.0,0.0,Feb-2019,1098.59,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,666.0,92316.0,2.0,3.0,1.0,1.0,4.0,84455.0,79.0,2.0,3.0,1698.0,57.0,32800.0,1.0,0.0,4.0,4.0,8392.0,9756.0,27.7,0.0,0.0,118.0,58.0,4.0,4.0,0.0,7.0,,4.0,,0.0,3.0,7.0,3.0,3.0,4.0,8.0,8.0,7.0,11.0,0.0,0.0,0.0,3.0,100.0,33.3,0.0,0.0,122340.0,92316.0,13500.0,89540.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,23000,23000,23000.0, 36 months,7.89,719.57,A,A5,Mail Handler,10+ years,MORTGAGE,75000.0,Verified,Jun-2016,Fully Paid,n,,,debt_consolidation,Debt consolidation,496xx,MI,13.78,0.0,Feb-1992,0.0,,72.0,10.0,1.0,13773,44.9,36.0,w,0.0,0.0,23015.79,23015.79,23000.0,15.79,0.0,0.0,0.0,Jun-2016,23025.87,,May-2016,0.0,,1,Individual,,,,0.0,0.0,125287.0,0.0,2.0,2.0,4.0,8.0,23831.0,87.0,0.0,0.0,7365.0,65.0,30700.0,1.0,4.0,4.0,4.0,15661.0,4135.0,64.0,0.0,0.0,132.0,291.0,26.0,8.0,7.0,64.0,,8.0,,0.0,1.0,3.0,1.0,6.0,15.0,7.0,14.0,3.0,8.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,152147.0,37604.0,11500.0,27444.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,1500,1500,1500.0, 36 months,7.21,46.46,A,A3,,,MORTGAGE,12000.0,Verified,Nov-2017,Current,n,,,home_improvement,Home improvement,275xx,NC,95.6,0.0,Aug-1998,0.0,,,4.0,0.0,1886,17.6,10.0,w,914.04,914.04,696.3,696.3,585.96,110.34,0.0,0.0,0.0,Feb-2019,46.46,Mar-2019,Feb-2019,0.0,,1,Joint App,42000.0,31.09,Verified,0.0,0.0,83916.0,0.0,2.0,1.0,1.0,8.0,82030.0,83.0,0.0,0.0,1886.0,41.0,10700.0,0.0,1.0,0.0,1.0,27972.0,8814.0,17.6,0.0,0.0,132.0,230.0,50.0,8.0,0.0,50.0,,,,0.0,1.0,1.0,1.0,5.0,3.0,2.0,7.0,1.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,110600.0,83916.0,10700.0,99900.0,3614.0,Aug-1998,0.0,0.0,5.0,17.6,4.0,7.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3900,3900,3900.0, 60 months,22.45,108.72,E,E5,Kitchen supervisor,4 years,RENT,40000.0,Not Verified,Apr-2014,Current,n,,,other,Other,129xx,NY,20.55,0.0,Jul-2007,1.0,,,16.0,0.0,1260,11.7,25.0,f,210.85,210.85,6305.76,6305.76,3689.15,2616.61,0.0,0.0,0.0,Feb-2019,108.72,Mar-2019,Feb-2019,1.0,,1,Individual,,,,0.0,219.0,60392.0,,,,,,,,,,,,10800.0,,,,4.0,3775.0,9300.0,0.0,0.0,0.0,81.0,14.0,2.0,2.0,0.0,2.0,,2.0,,0.0,0.0,1.0,2.0,2.0,21.0,3.0,4.0,1.0,16.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,77798.0,60392.0,9300.0,66998.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 36 months,6.97,370.37,A,A3,Chief Financial Officer,1 year,MORTGAGE,110000.0,Not Verified,Mar-2016,Fully Paid,n,,,credit_card,Credit card refinancing,460xx,IN,28.21,1.0,Nov-1981,1.0,4.0,,14.0,0.0,26726,48.2,23.0,w,0.0,0.0,13321.2568250586,13321.26,12000.0,1321.26,0.0,0.0,0.0,Dec-2018,1474.07,,Feb-2019,0.0,44.0,1,Individual,,,,0.0,0.0,406185.0,0.0,4.0,0.0,1.0,23.0,56171.0,78.0,0.0,0.0,13843.0,70.0,55400.0,0.0,0.0,1.0,1.0,31245.0,28674.0,48.2,0.0,0.0,157.0,411.0,46.0,23.0,2.0,46.0,,1.0,,0.0,5.0,5.0,6.0,7.0,8.0,6.0,11.0,5.0,14.0,0.0,0.0,0.0,0.0,91.3,16.7,0.0,0.0,527519.0,104266.0,55400.0,72000.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,15000.0, 36 months,7.69,467.91,A,A4,Human Resources Consultant,10+ years,OWN,65000.0,Not Verified,Oct-2014,Fully Paid,n,,,debt_consolidation,Debt consolidation,130xx,NY,23.38,1.0,Oct-1998,1.0,11.0,18.0,16.0,2.0,18555,50.3,34.0,f,0.0,0.0,16006.1497458231,16006.15,15000.0,1006.15,0.0,0.0,0.0,Oct-2015,10859.14,,Aug-2018,0.0,,1,Individual,,,,0.0,0.0,96019.0,,,,,,,,,,,,36900.0,,,,7.0,6001.0,4679.0,75.9,0.0,0.0,131.0,191.0,1.0,1.0,3.0,8.0,,1.0,,0.0,3.0,10.0,4.0,8.0,8.0,13.0,23.0,10.0,16.0,0.0,0.0,0.0,4.0,97.1,50.0,0.0,1.0,162247.0,27525.0,19400.0,43647.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000.0, 36 months,13.66,170.07,C,C3,Aircraft Mechanic,8 years,MORTGAGE,75000.0,Verified,Jan-2015,Fully Paid,n,,,debt_consolidation,Debt consolidation,933xx,CA,24.68,0.0,Aug-2000,1.0,37.0,,14.0,0.0,10543,53.5,19.0,f,0.0,0.0,5767.5500000063,5767.55,5000.0,767.55,0.0,0.0,0.0,May-2016,3224.09,,Feb-2019,0.0,,1,Individual,,,,0.0,397.0,48914.0,,,,,,,,,,,,19700.0,,,,9.0,3494.0,8585.0,51.8,0.0,0.0,53.0,172.0,4.0,3.0,1.0,4.0,,2.0,37.0,0.0,7.0,8.0,7.0,9.0,7.0,9.0,11.0,8.0,14.0,0.0,0.0,0.0,7.0,94.7,28.6,0.0,0.0,74732.0,48914.0,17800.0,55032.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
